arm,cell_type,n_cells,accuracy,f1
P2DS,"effector memory CD4-positive, alpha-beta T cell",233,0.7896995708154506,0.7173489278752436
P2DS,gamma-delta T cell,320,0.625,0.7299270072992701
P2DS,hematopoietic stem cell,2,0.0,0.0
P2DS,innate lymphoid cell,6,0.0,0.0
P2DS,mature B cell,51,0.45098039215686275,0.6216216216216216
P2DS,memory B cell,338,0.985207100591716,0.8868175765645806
P2DS,mucosal invariant T cell,219,0.9954337899543378,0.9045643153526971
P2DS,myeloid cell,263,0.5247148288973384,0.6682808716707022
P2DS,naive B cell,335,0.9970149253731343,0.9113233287858117
P2DS,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.9691803278688524,0.9408020369191598
P2DS,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.9741480611045829,0.9633933759442185
P2DS,natural killer cell,235,0.6553191489361702,0.7247058823529412
P2DS,plasma cell,18,0.0,0.0
P2DS,plasmacytoid dendritic cell,30,0.03333333333333333,0.06451612903225806
P2DS,platelet,178,1.0,0.9971988795518207
P2DS,pre-conventional dendritic cell,7,0.0,0.0
P2DS,regulatory T cell,157,0.9044585987261147,0.8738461538461538
P2BJ,B cell,107,0.6261682242990654,0.7243243243243244
P2BJ,"CD14-low, CD16-positive monocyte",423,0.9787234042553191,0.9539170506912442
P2BJ,CD14-positive monocyte,1932,0.8876811594202898,0.9333333333333333
P2BJ,CD141-positive myeloid dendritic cell,5,1.0,0.9090909090909091
P2BJ,"CD16-negative, CD56-bright natural killer cell, human",63,0.9682539682539683,0.7261904761904762
P2BJ,"CD16-positive, CD56-dim natural killer cell, human",1576,0.9206852791878173,0.9343206696716033
P2BJ,CD1c-positive myeloid dendritic cell,131,0.8473282442748091,0.7816901408450704
P2BJ,"CD4-positive, alpha-beta T cell",361,0.24653739612188366,0.26527570789865873
P2BJ,"CD4-positive, alpha-beta cytotoxic T cell",102,0.8921568627450981,0.7913043478260869
P2BJ,"CD8-positive, alpha-beta T cell",579,0.5958549222797928,0.6712062256809338
P2BJ,"CD8-positive, alpha-beta cytotoxic T cell",493,0.8093306288032455,0.7877591312931885
P2BJ,"CD8-positive, alpha-beta memory T cell",263,0.8365019011406845,0.7321131447587355
P2BJ,T cell,564,0.5283687943262412,0.6195426195426196
P2BJ,"central memory CD4-positive, alpha-beta T cell",1130,0.763716814159292,0.8054129724685021
P2BJ,double negative T regulatory cell,3,0.6666666666666666,0.4
P2BJ,"effector memory CD4-positive, alpha-beta T cell",233,0.8583690987124464,0.718132854578097
P2BJ,gamma-delta T cell,320,0.865625,0.8483920367534457
P2BJ,hematopoietic stem cell,2,0.0,0.0
P2BJ,innate lymphoid cell,6,0.8333333333333334,0.6666666666666666
P2BJ,mature B cell,51,0.6470588235294118,0.7252747252747253
P2BJ,memory B cell,338,0.9674556213017751,0.925035360678925
P2BJ,mucosal invariant T cell,219,0.9863013698630136,0.9171974522292994
P2BJ,myeloid cell,263,0.7984790874524715,0.6431852986217458
P2BJ,naive B cell,335,0.9731343283582089,0.9602356406480118
P2BJ,"naive thymus-derived CD4-positive, alpha-beta T cell",1525,0.921967213114754,0.9210612512283001
P2BJ,"naive thymus-derived CD8-positive, alpha-beta T cell",851,0.981198589894242,0.9488636363636364
P2BJ,natural killer cell,235,0.7361702127659574,0.6824457593688363
P2BJ,plasma cell,18,1.0,1.0
P2BJ,plasmacytoid dendritic cell,30,1.0,0.967741935483871
P2BJ,platelet,178,1.0,0.9971988795518207
P2BJ,pre-conventional dendritic cell,7,0.7142857142857143,0.38461538461538464
P2BJ,regulatory T cell,157,0.9681528662420382,0.7307692307692307
